study	reference	dataset	N_cases	N_controls	N_eff_half	LAMBDA-GC	N-SNPs
UKBB	MDD8	MDD8_UKBB_CIDI_glm	47682	13019	20453	1.022	7704273
UKBB	MDD9	MDD9_UKBB_CIDI_glm	33617	31108	32313	1.029	7704734
GenScot	MDD1	MDD1_Dep_GenScot	3334	159	303	0.929	7769070
GenScot	MDD2	MDD2_Anh_GenScot	3229	261	482	0.968	7788597
GenScot	MDD3a	MDD3a_AppDec_GenScot	1141	462	657	0.985	7789892
GenScot	MDD3b	MDD3b_AppInc_GenScot	431	510	467	1.005	7626309
GenScot	MDD4a	MDD4a_SleDec_GenScot	1368	254	428	0.995	7753210
GenScot	MDD4b	MDD4b_SleInc_GenScot	359	289	320	1.008	7140139
GenScot	MDD5a	MDD5a_MotoInc_GenScot	668	547	601	1.023	7774135
GenScot	MDD5b	MDD5b_MotoDec_GenScot	687	526	595	1.049	7761214
GenScot	MDD6	MDD6_Fatig_GenScot	3165	209	392	0.957	7782962
GenScot	MDD7	MDD7_Guilt_GenScot	2847	520	879	1.046	7797341
GenScot	MDD8	MDD8_Conc_GenScot	3097	277	508	0.971	7802390
GenScot	MDD9	MDD9_Sui_GenScot	2135	1230	1560	1.01	7797415
EstBB	MDD1	MDD1_DEP_EstBB	41070	41867	41464	1.108	7574379
EstBB	MDD2	MDD2_ANH_EstBB	32734	50090	39593	1.104	7574286
EstBB	MDD3a	MDD3a_APPDEC_EstBB	14777	9527	11584	1.024	7574044
EstBB	MDD3b	MDD3b_APPINC_EstBB	8747	9527	9120	1.056	7575227
EstBB	MDD4a	MDD4a_SLEDEC_EstBB	28489	5182	8768	1.021	7573140
EstBB	MDD4b	MDD4b_SLEINC_EstBB	9911	5182	6805	1.028	7574107
EstBB	MDD6	MDD6_FATIG_EstBB	33674	3338	6073	1.017	7574693
EstBB	MDD7	MDD7_GUILT_EstBB	28630	9200	13925	1.036	7574378
EstBB	MDD8	MDD8_CONC_EstBB	27138	7473	11718	1.031	7574685
EstBB	MDD9	MDD9_SUI_EstBB	13000	24850	17070	1.057	7573437
janpy	MDD8	dichotomized_Concentration_Difficulties_8	529	74	129	0.957	6448679
janpy	MDD2	dichotomized_Inability_to_Feel_7	555	48	88	0.942	6438705
janpy	MDD5b	dichotomized_Lassitude	534	69	122	0.971	6426237
janpy	MDD7	dichotomized_Pessimistic_Thoughts	461	142	217	0.988	6544017
janpy	MDD3a	dichotomized_Reduced_Appetite	218	385	278	1.015	6633726
janpy	MDD4a	dichotomized_Reduced_Sleep_7	503	100	166	0.986	6508959
janpy	MDD1	dichotomized_Sadness_2	587	16	31	0.946	5934311
janpy	MDD9	dichotomized_Suicidal_Thoughts_9	128	475	201	1.001	6652864
