model	abbrev	name	lhs	op	rhs	Unstand_Est	Unstand_SE	STD_Genotype	STD_Genotype_SE	STD_All	p_value
C	Depr-Gate	Depression-Gating	MDD	=~	CommAppInc	-0.18434314093359777	0.0210332341025922	-0.5060495803719602	0.0577394200657697	-0.5060496436131617	1.8781649073254416e-18
C	Depr-Gate	Depression-Gating	MDD	=~	CommSleDec	-0.18737489757291362	0.0180746487596793	-0.7323201724386644	0.0706414445366687	-0.732319828253122	3.5136393317488612e-25
C	Depr-Gate	Depression-Gating	MDD	=~	CommSleInc	-0.24637332747247065	0.0224069662834134	-0.8034661237097138	0.073072926179814	-0.8034661425074722	4.0217225965533114e-28
C	Depr-Gate	Depression-Gating	MDD	=~	CommFatig	-0.17347680550547925	0.0218182946872629	-0.6504783450692723	0.0818111541320244	-0.6504786213981542	1.850431352889958e-15
C	Depr-Gate	Depression-Gating	MDD	=~	CommGuilt	-0.16998828702796193	0.0150074746702787	-0.6539917848575664	0.0577378586181028	-0.6539918258071877	9.655312731963028e-30
C	Depr-Gate	Depression-Gating	MDD	=~	CommConc	-0.19173436367038668	0.0173806472564637	-0.844339201556537	0.0765390246224909	-0.8443398187786542	2.6937736736279485e-28
C	Depr-Gate	Depression-Gating	MDD	=~	CommSui	-0.12673641198482252	0.0143458879789061	-0.6555585489143265	0.0742057322768246	-0.6555588371151633	1.0069347867326848e-18
C	Depr-Gate	Depression-Gating	MDD	=~	UkbDep	-0.12503706893541397	0.0182998902268988	-0.5899144736515421	0.0863371696169613	-0.5899148389672659	8.334987637182742e-12
C	Depr-Gate	Depression-Gating	MDD	=~	UkbAnh	-0.1532317827087813	0.0187096499688015	-0.6925728031502312	0.0845632962386518	-0.6925729760361458	2.612552431867273e-16
C	Depr-Gate	Depression-Gating	GATE	=~	CommDep	0.2173031993221151	0.017541864653594	0.7374081404513171	0.0595276076971009	0.7374081731752007	3.046902348787484e-35
C	Depr-Gate	Depression-Gating	GATE	=~	CommAnh	0.17236196087306077	0.0160415980209416	0.589803279693427	0.05489284458709	0.5898034366890414	6.2774006578632134e-27
C	Depr-Gate	Depression-Gating	GATE	=~	UkbDep	0.15278746293371134	0.0199607702695487	0.7208347496192069	0.0941732647936925	0.7208351960097941	1.9423633480556872e-14
