GWAS	threshold	symptom	beta	se
Neuroveg	PT0.025	Anh	0.2118543479132044	0.047697103470210646
Neuroveg	PT0.025	App	0.22850129248236212	0.055027235139574984
Neuroveg	PT0.025	Conc	0.20204972440508648	0.061104157552066614
Neuroveg	PT0.025	Dep	0.11093943511859967	0.04698840921403405
Neuroveg	PT0.025	Fatig	0.20028661432284064	0.06630197439270218
Neuroveg	PT0.025	Guilt	0.22427843674291076	0.05637177572131449
Neuroveg	PT0.025	Moto	0.11118271904509024	0.08243148701399235
Neuroveg	PT0.025	Sle	0.1857175129592324	0.06362612873856588
Neuroveg	PT0.025	Sui	0.12719230495127942	0.0544549117109261
Neuroveg	PT0.05	Anh	0.2668216147089654	0.04778437259957225
Neuroveg	PT0.05	App	0.26963154324098176	0.05519883701687075
Neuroveg	PT0.05	Conc	0.2538495301605852	0.061479685136221235
Neuroveg	PT0.05	Dep	0.16052782147807926	0.04699408311723462
Neuroveg	PT0.05	Fatig	0.21173537276212245	0.06648722602630265
Neuroveg	PT0.05	Guilt	0.2920340911279785	0.056707883663159556
Neuroveg	PT0.05	Moto	0.17072005658762895	0.08303199346278133
Neuroveg	PT0.05	Sle	0.2576997120590272	0.06403701173319455
Neuroveg	PT0.05	Sui	0.1601433670457338	0.054573043373334074
Neuroveg	PT0.25	Anh	0.27333868832072655	0.04757651512212321
Neuroveg	PT0.25	App	0.2269815118469009	0.05508961960969333
Neuroveg	PT0.25	Conc	0.2519255317539626	0.06110306208469016
Neuroveg	PT0.25	Dep	0.15588487024242614	0.04681020614312972
Neuroveg	PT0.25	Fatig	0.19652756919594533	0.06597730110620294
Neuroveg	PT0.25	Guilt	0.2967694008718829	0.05655378717912945
Neuroveg	PT0.25	Moto	0.14958061837043146	0.08340900389958449
Neuroveg	PT0.25	Sle	0.24678991300449943	0.06366397234541074
Neuroveg	PT0.25	Sui	0.16906546487521207	0.05461281656914381
Neuroveg	PT1	Anh	0.2593141648453794	0.04801880259327674
Neuroveg	PT1	App	0.21315631801327223	0.05575808828466424
Neuroveg	PT1	Conc	0.22095770155415675	0.06173945117449617
Neuroveg	PT1	Dep	0.16038215824871338	0.04724362590741357
Neuroveg	PT1	Fatig	0.1854050002985197	0.06665474771636724
Neuroveg	PT1	Guilt	0.28541516440487374	0.05723519218701483
Neuroveg	PT1	Moto	0.11203399175038531	0.08482890248337743
Neuroveg	PT1	Sle	0.21373565810833453	0.06425869533290508
Neuroveg	PT1	Sui	0.15522581987958975	0.05531273572082892
